# Time                DetFlux         DetFluxErr      Model
2457077.5758210709    1.0000917971    0.0002699645    1.0000000000
2457077.5764923748    1.0003884956    0.0002661779    1.0000000000
2457077.5778581314    0.9998374224    0.0002554053    1.0000000000
2457077.5785410097    0.9999833333    0.0002576743    1.0000000000
2457077.5792238875    1.0003434829    0.0002644908    1.0000000000
2457077.5798951918    0.9997658154    0.0002717452    1.0000000000
2457077.5805780697    0.9999378308    0.0002590765    1.0000000000
2457077.5812609480    0.9997535398    0.0002650029    1.0000000000
2457077.5819322518    1.0002215841    0.0002553222    1.0000000000
2457077.5826151301    0.9995914987    0.0002584642    1.0000000000
2457077.5832980084    1.0004127227    0.0002644786    1.0000000000
2457077.5839808863    0.9998790692    0.0002594031    1.0000000000
2457077.5846637646    1.0002363928    0.0002627127    1.0000000000
2457077.5853466429    0.9999227578    0.0002582614    1.0000000000
2457077.5860295207    0.9994844229    0.0002549154    1.0000000000
2457077.5867123990    1.0004453734    0.0002605090    1.0000000000
2457077.5873952773    1.0000184739    0.0002690740    1.0000000000
2457077.5880781552    0.9997529896    0.0002635339    1.0000000000
2457077.5887494590    0.9997419992    0.0002694630    1.0000000000
2457077.5894323373    0.9998900277    0.0002615721    1.0000000000
2457077.5901152156    1.0001902398    0.0002635102    1.0000000000
2457077.5907865195    0.9999626911    0.0002598056    1.0000000000
2457077.5914578233    1.0004978545    0.0002661685    1.0000000000
2457077.5921175531    0.9994310040    0.0002678990    1.0000000000
2457077.5927657085    0.9997311521    0.0002653880    1.0000000000
2457077.5934254383    1.0002295698    0.0002603764    1.0000000000
2457077.5940851676    1.0004135982    0.0002676671    1.0000000000
2457077.5947448974    0.9995205745    0.0002564335    1.0000000000
2457077.5954046273    1.0000945460    0.0002632259    1.0000000000
2457077.5960643571    1.0000811510    0.0002690823    1.0000000000
2457077.5967240864    0.9998626033    0.0002619883    1.0000000000
2457077.5973838163    0.9996899121    0.0002630375    1.0000000000
2457077.5980319716    1.0003255013    0.0002513072    1.0000000000
2457077.5993514312    1.0000561196    0.0002478171    1.0000000000
2457077.6000111606    0.9998729777    0.0002470874    1.0000000000
2457077.6006708904    1.0004536543    0.0002702034    1.0000000000
2457077.6013306202    0.9999525820    0.0002640893    1.0000000000
2457077.6019903496    1.0004875675    0.0002560703    1.0000000000
2457077.6026385049    1.0003910725    0.0002580239    1.0000000000
2457077.6032982348    0.9999058828    0.0002575401    1.0000000000
2457077.6039579646    0.9997983078    0.0002673527    1.0000000000
2457077.6046176939    0.9997030403    0.0002579341    1.0000000000
2457077.6052658493    1.0001970522    0.0002608615    1.0000000000
2457077.6059024306    0.9997559116    0.0002608644    1.0000000000
2457077.6065274375    0.9996184770    0.0002646683    1.0000000000
2457077.6071524448    0.9999412434    0.0002570106    1.0000000000
2457077.6077658776    0.9999874187    0.0002532172    1.0000000000
2457077.6083908845    0.9995380085    0.0002533765    1.0000000000
2457077.6090158913    0.9999671430    0.0002551968    1.0000000000
2457077.6096408986    0.9995255330    0.0002607187    1.0000000000
2457077.6102543315    0.9999625011    0.0002571630    1.0000000000
2457077.6108793383    1.0004589000    0.0002520609    1.0000000000
2457077.6115043452    1.0001600788    0.0002657475    1.0000000000
2457077.6121293521    1.0005139241    0.0002619188    1.0000000000
2457077.6127543594    1.0000353482    0.0002579111    1.0000000000
2457077.6133793662    1.0004017555    0.0002659043    1.0000000000
2457077.6139927991    0.9996309561    0.0002621850    1.0000000000
2457077.6146178059    0.9999966935    0.0002635478    1.0000000000
2457077.6152428128    1.0002178745    0.0002652966    1.0000000000
2457077.6158678196    0.9998888429    0.0002668635    1.0000000000
2457077.6164812525    0.9999309788    0.0002559435    1.0000000000
2457077.6171062593    1.0001577532    0.0002665804    1.0000000000
2457077.6183446990    0.9997956610    0.0002599418    1.0000000000
2457077.6189697064    0.9998247494    0.0002637385    1.0000000000
2457077.6195947132    0.9998816156    0.0002585827    1.0000000000
2457077.6202197201    0.9997754678    0.0002571842    1.0000000000
2457077.6208331529    1.0000933869    0.0002610483    1.0000000000
2457077.6214465857    1.0004864444    0.0002513321    1.0000000000
2457077.6220484441    1.0002229185    0.0002653835    1.0000000000
2457077.6226503025    0.9997967687    0.0002588016    1.0000000000
2457077.6232521613    0.9998821005    0.0002600010    1.0000000000
2457077.6238424452    0.9999187135    0.0002508214    1.0000000000
2457077.6244443040    1.0000504680    0.0002614710    1.0000000000
2457077.6250461624    1.0001337897    0.0002603012    1.0000000000
2457077.6256480208    1.0000347372    0.0002605506    1.0000000000
2457077.6262383051    1.0001648853    0.0002632041    1.0000000000
2457077.6280438807    0.9998023497    0.0002472320    1.0000000000
2457077.6286457391    0.9997925164    0.0002524345    1.0000000000
2457077.6292475979    0.9998672788    0.0002573393    1.0000000000
2457077.6304397406    1.0002771029    0.0002567272    1.0000000000
2457077.6310415990    1.0000403218    0.0002689464    1.0000000000
2457077.6316434573    1.0000109301    0.0002603078    1.0000000000
2457077.6322453157    1.0002408583    0.0002525983    1.0000000000
2457077.6328356001    0.9999897376    0.0002553422    1.0000000000
2457077.6334374584    1.0001325507    0.0002648026    1.0000000000
2457077.6340393168    0.9998850515    0.0002571996    1.0000000000
2457077.6346411756    1.0001813704    0.0002558316    1.0000000000
2457077.6352430340    0.9999175775    0.0002633782    1.0000000000
2457077.6358448924    1.0005001080    0.0002563743    1.0000000000
2457077.6364351767    0.9998686152    0.0002529144    1.0000000000
2457077.6370370351    1.0002644654    0.0002569816    1.0000000000
2457077.6376388934    0.9995977360    0.0002672381    1.0000000000
2457077.6388310362    1.0002686948    0.0002706308    1.0000000000
2457077.6394328945    0.9998186104    0.0002642572    1.0000000000
2457077.6400347529    1.0001247884    0.0002542947    1.0000000000
2457077.6412268956    1.0000291530    0.0002532948    1.0000000000
2457077.6418403285    1.0001592655    0.0002683738    1.0000000000
2457077.6424306124    0.9999677486    0.0002602087    1.0000000000
2457077.6430324707    1.0000664542    0.0002573119    1.0000000000
2457077.6436343291    0.9999198847    0.0002683452    1.0000000000
2457077.6442361875    1.0001550391    0.0002646357    1.0000000000
2457077.6448380463    0.9999461667    0.0002698830    1.0000000000
2457077.6454283302    0.9996135969    0.0002679061    1.0000000000
2457077.6460301885    0.9998665157    0.0002605046    1.0000000000
2457077.6466320469    0.9999028795    0.0002687108    1.0000000000
2457077.6472339053    0.9997298548    0.0002642264    1.0000000000
2457077.6478357636    1.0003050364    0.0002476191    1.0000000000
2457077.6484260480    0.9998369602    0.0002639333    1.0000000000
2457077.6490279064    1.0002368593    0.0002591066    1.0000000000
2457077.6496297647    1.0000889785    0.0002573264    1.0000000000
2457077.6502316231    0.9996109964    0.0002572618    1.0000000000
2457077.6508334815    0.9999912253    0.0002594461    1.0000000000
2457077.6514237658    0.9996728516    0.0002640312    1.0000000000
2457077.6520256242    1.0000669869    0.0002652749    1.0000000000
2457077.6526274821    0.9998864148    0.0002571475    1.0000000000
2457077.6532293404    1.0000284997    0.0002578004    1.0000000000
2457077.6538196248    0.9998643451    0.0002592854    1.0000000000
2457077.6544214832    0.9999917117    0.0002545780    1.0000000000
2457077.6550233415    0.9997005874    0.0002602456    1.0000000000
2457077.6556251999    1.0001819866    0.0002722654    1.0000000000
2457077.6562270583    0.9997055034    0.0002626998    1.0000000000
2457077.6568289166    0.9998893571    0.0002603975    1.0000000000
2457077.6574307750    0.9998570778    0.0002559390    1.0000000000
2457077.6580210589    0.9999227155    0.0002657817    1.0000000000
2457077.6586229173    0.9998330007    0.0002697453    1.0000000000
2457077.6592247756    0.9996597570    0.0002568655    1.0000000000
2457077.6598266340    1.0002863256    0.0002648878    1.0000000000
2457077.6604169179    0.9998627889    0.0002595114    1.0000000000
2457077.6610303503    1.0001125714    0.0002551684    1.0000000000
2457077.6616206346    0.9998695065    0.0002625378    1.0000000000
2457077.6622224930    1.0001805346    0.0002615312    1.0000000000
2457077.6628243513    1.0003360026    0.0002625568    1.0000000000
2457077.6634262092    0.9999698550    0.0002655571    1.0000000000
2457077.6640164936    1.0002284143    0.0002542658    1.0000000000
2457077.6646183520    1.0002002981    0.0002549806    1.0000000000
2457077.6664123526    0.9998684280    0.0002625040    1.0000000000
2457077.6670142105    1.0000049336    0.0002487555    1.0000000000
2457077.6676160689    1.0000486250    0.0002623824    1.0000000000
2457077.6682179272    1.0000644954    0.0002555180    1.0000000000
2457077.6688197856    1.0001665948    0.0002555618    1.0000000000
2457077.6694216440    1.0001761814    0.0002676319    1.0000000000
2457077.6700119278    0.9999876646    0.0002575922    1.0000000000
2457077.6706137862    0.9999956793    0.0002615000    1.0000000000
2457077.6712156441    1.0005994670    0.0002623561    1.0000000000
2457077.6718175025    0.9999600652    0.0002585619    1.0000000000
2457077.6724077864    1.0002697102    0.0002514703    1.0000000000
2457077.6730096447    0.9999791656    0.0002616921    1.0000000000
2457077.6736115031    0.9997643250    0.0002605484    1.0000000000
2457077.6742133615    1.0001478092    0.0002597319    1.0000000000
2457077.6748152194    0.9995936424    0.0002588599    1.0000000000
2457077.6754055037    1.0000595104    0.0002664406    1.0000000000
2457077.6759957876    1.0006211612    0.0002671851    1.0000000000
2457077.6765629230    1.0003119463    0.0002509958    1.0000000000
2457077.6771300589    0.9999364958    0.0002596327    1.0000000000
2457077.6776856203    1.0000374765    0.0002556549    1.0000000000
2457077.6782527557    1.0000380532    0.0002580603    1.0000000000
2457077.6788198915    1.0000691717    0.0002610826    1.0000000000
2457077.6793870269    0.9998870902    0.0002620243    1.0000000000
2457077.6799541628    0.9998400508    0.0002621506    1.0000000000
2457077.6805212982    0.9997627963    0.0002722758    1.0000000000
2457077.6810884336    0.9998573534    0.0002492217    1.0000000000
2457077.6816439950    1.0000761120    0.0002589918    1.0000000000
2457077.6822111309    1.0000302338    0.0002614448    1.0000000000
2457077.6827782663    0.9999321105    0.0002714287    1.0000000000
2457077.6833454021    1.0001702515    0.0002732894    1.0000000000
2457077.6839009635    0.9999400574    0.0002638198    1.0000000000
2457077.6844680989    0.9999546096    0.0002693907    1.0000000000
2457077.6850352343    1.0006619393    0.0002611646    1.0000000000
2457077.6856023702    1.0001288606    0.0002686566    1.0000000000
2457077.6861695056    0.9999187299    0.0002610323    1.0000000000
2457077.6867366410    0.9998154938    0.0002555719    1.0000000000
