# Variable    Value              SigmaUp         SigmaDown
q1            0.7051536206       0.1977770481    0.2301553596
q2            0.3899354865       0.1039534808    0.1937483809
alpha0        0.8459254728       0.4786144849    0.3599281146
b             0.6564406206       0.0069757538    0.0071968570
jitter        0.0002851191       0.0000105600    0.0000098733
alpha4        0.0245920207       0.0453494381    0.0178952064
p             0.1585376304       0.0007874803    0.0007431287
alpha5        0.0078746789       0.0113556514    0.0049617355
t0            2457077.7232476799 0.0000380906    0.0000352859
max_var       0.0000010492       0.0000006986    0.0000003815
P             0.8134743603       0.0000000344    0.0000000341
aR            4.9273777462       0.0285591295    0.0284955113
alpha1        0.1506330895       0.1178607181    0.0732253666
alpha3        0.0032646036       0.0058982625    0.0022175143
alpha2        0.1951788589       0.1971903198    0.1050151582
mmean        -0.0017406011       0.0013389768    0.0014864703
inc           82.3450881470      0.1173059883    0.1187423428
