# Time                DetFlux         DetFluxErr      Model
2457854.6002868540    0.9761447938    0.0004104854    0.9759898608
2457854.6009002430    0.9764611527    0.0003898378    0.9762041371
2457854.6015136321    0.9768105912    0.0004048387    0.9764411170
2457854.6021270212    0.9767891074    0.0003942203    0.9767039191
2457854.6027404102    0.9770944385    0.0004140929    0.9769914621
2457854.6033537993    0.9771795423    0.0004059501    0.9773125599
2457854.6039671884    0.9773842248    0.0004118543    0.9776792619
2457854.6045921510    0.9775672791    0.0003886327    0.9781287971
2457854.6052055401    0.9788613049    0.0004080604    0.9787747355
2457854.6058189292    0.9801692689    0.0004078736    0.9796754681
2457854.6064323182    0.9809324143    0.0004009338    0.9807661277
2457854.6070457073    0.9815160307    0.0004122868    0.9819900475
2457854.6076590964    0.9830203927    0.0003914553    0.9833151408
2457854.6082609119    0.9850645675    0.0003953371    0.9846866011
2457854.6088511543    0.9860364943    0.0004013575    0.9860793570
2457854.6094413963    0.9879280761    0.0004137272    0.9875031898
2457854.6100316388    0.9886576361    0.0003991025    0.9889362828
2457854.6106218812    0.9905593609    0.0003941482    0.9903623302
2457854.6112236967    0.9916577611    0.0004126694    0.9917970178
2457854.6118139387    0.9925294755    0.0004115900    0.9931644188
2457854.6124041812    0.9947228277    0.0004103543    0.9944735699
2457854.6129944236    0.9961151349    0.0004193618    0.9957098236
2457854.6135846656    0.9963554284    0.0004182659    0.9968469759
2457854.6141749080    0.9982126709    0.0004126376    0.9978686583
2457854.6147651500    0.9984074526    0.0004088600    0.9987458841
2457854.6153553925    0.9996515751    0.0004117619    0.9994399436
2457854.6159456349    0.9998732213    0.0003993445    0.9998996746
2457854.6165358769    1.0003281799    0.0004150553    1.0000000000
2457854.6171261193    0.9986397327    0.0004143792    1.0000000000
2457854.6177163613    0.9994938523    0.0004067474    1.0000000000
2457854.6183066037    0.9999754277    0.0004196129    1.0000000000
2457854.6189084193    0.9998367254    0.0004119902    1.0000000000
2457854.6194986613    1.0006026724    0.0004137698    1.0000000000
2457854.6200889037    1.0010836122    0.0004233029    1.0000000000
2457854.6206791457    1.0004833847    0.0004070272    1.0000000000
2457854.6212693881    1.0002615046    0.0004128690    1.0000000000
2457854.6218596301    0.9997579895    0.0004089124    1.0000000000
2457854.6224498725    0.9995423252    0.0004155868    1.0000000000
2457854.6230401145    1.0000580610    0.0004293293    1.0000000000
2457854.6236303570    1.0003170521    0.0004217102    1.0000000000
2457854.6242205990    1.0000728136    0.0004177719    1.0000000000
2457854.6248108414    1.0005322853    0.0004213857    1.0000000000
2457854.6254010834    0.9993994536    0.0004098586    1.0000000000
2457854.6259913258    0.9999029602    0.0003988151    1.0000000000
2457854.6265815678    1.0002802178    0.0004305395    1.0000000000
2457854.6271833833    1.0001277320    0.0003903669    1.0000000000
2457854.6277736253    0.9997555511    0.0004125228    1.0000000000
2457854.6283638678    1.0000351550    0.0004117767    1.0000000000
2457854.6289541097    0.9994727216    0.0004148961    1.0000000000
2457854.6295443522    0.9999784799    0.0004164839    1.0000000000
2457854.6301345942    1.0001423504    0.0004041814    1.0000000000
2457854.6307248361    0.9990315552    0.0004019937    1.0000000000
2457854.6313150786    1.0005811891    0.0003987908    1.0000000000
2457854.6319053206    0.9994288296    0.0004044557    1.0000000000
2457854.6324955630    1.0003956525    0.0004197570    1.0000000000
2457854.6330973785    0.9996824317    0.0004261571    1.0000000000
2457854.6336876205    0.9995869639    0.0004105946    1.0000000000
2457854.6342778625    1.0003349256    0.0004001251    1.0000000000
2457854.6348681049    1.0001087986    0.0004196734    1.0000000000
2457854.6354583469    0.9998824967    0.0004170298    1.0000000000
2457854.6360485889    1.0003580978    0.0004075188    1.0000000000
2457854.6366388313    1.0001708388    0.0003931766    1.0000000000
2457854.6372290733    0.9998982886    0.0004096657    1.0000000000
2457854.6378193153    1.0002686441    0.0003969623    1.0000000000
2457854.6384095573    1.0006635639    0.0004148939    1.0000000000
2457854.6389997997    0.9996964925    0.0004278842    1.0000000000
2457854.6395900417    0.9999358292    0.0004001809    1.0000000000
2457854.6401802837    0.9993691880    0.0004075398    1.0000000000
2457854.6407705261    1.0002198879    0.0004136667    1.0000000000
2457854.6413607681    1.0003219806    0.0004188200    1.0000000000
2457854.6419510101    1.0010212525    0.0004039525    1.0000000000
2457854.6425528256    0.9997163715    0.0004211892    1.0000000000
2457854.6431430676    0.9994908775    0.0004220380    1.0000000000
2457854.6437333096    1.0000016257    0.0003981690    1.0000000000
2457854.6443235520    1.0002235453    0.0004146873    1.0000000000
2457854.6449137940    0.9999683112    0.0004041507    1.0000000000
2457854.6455040360    1.0003705175    0.0004136955    1.0000000000
2457854.6460942780    1.0000927556    0.0004323068    1.0000000000
2457854.6466960935    0.9994993581    0.0004133789    1.0000000000
2457854.6472863355    0.9993030008    0.0004119718    1.0000000000
2457854.6478765779    1.0010845438    0.0003933784    1.0000000000
2457854.6484668199    0.9991421714    0.0003981027    1.0000000000
2457854.6490570619    0.9999828624    0.0004188738    1.0000000000
2457854.6496473039    1.0004718309    0.0004224365    1.0000000000
2457854.6502491194    0.9999699526    0.0004013392    1.0000000000
2457854.6508393614    1.0001152293    0.0004070981    1.0000000000
2457854.6514296033    1.0006281574    0.0004150792    1.0000000000
2457854.6520198453    0.9996422924    0.0004181912    1.0000000000
2457854.6526100873    1.0002184720    0.0004210429    1.0000000000
2457854.6532003297    0.9996453628    0.0004016802    1.0000000000
2457854.6537905717    0.9999705367    0.0004035771    1.0000000000
