# Variable    Value              SigmaUp         SigmaDown
q1            0.5097528707       0.3004724780    0.1988102496
q2            0.4121197475       0.2141528612    0.2478671620
alpha0        0.5906289052       0.9005253195    0.4284998724
b             0.6715284036       0.0133515459    0.0157589640
jitter        0.0004429710       0.0000247271    0.0000227837
alpha4        0.7285155431       0.7987590073    0.4451950722
p             0.1543639793       0.0016723940    0.0016423793
alpha5        0.1315380007       0.2248533267    0.0977612637
t0            2457854.5909991525 0.0000831103    0.0000823052
max_var       0.0000001076       0.0000000746    0.0000000388
P             0.8134743607       0.0000000334    0.0000000339
aR            4.9093502378       0.0588146112    0.0581504678
alpha1        0.3635691417       0.4571122993    0.2398952717
alpha3        0.0750594917       0.1390971580    0.0552836853
alpha2        0.8591827285       0.9346322759    0.5500964234
mmean        -0.0253940588       0.0004449201    0.0004206434
inc           82.1371710467      0.2687413430    0.2436294364
