# Variable    Value              SigmaUp         SigmaDown
q1            0.7240561948       0.1810553512    0.1966810911
q2            0.3160233220       0.1055556020    0.1663883200
alpha0        0.1948316382       0.2801028655    0.1376011234
b             0.6621791439       0.0082199567    0.0081842598
jitter        0.0002714826       0.0000192294    0.0000173262
alpha4        0.0957947523       0.2085760133    0.0724908147
p             0.1602974958       0.0012675367    0.0011820886
alpha5        0.0381689424       0.0624499078    0.0266610684
t0            2458273.5301932837 0.0000509825    0.0000526439
max_var       0.0000005535       0.0000004444    0.0000002215
P             0.8134743605       0.0000000344    0.0000000337
aR            4.8583555105       0.0345762134    0.0336672691
alpha1        0.1651363651       0.2582703025    0.1186961040
alpha3        0.0496422863       0.0530582223    0.0274938804
alpha2        0.1034808111       0.1758566129    0.0778194523
mmean        -0.0108564244       0.0011038027    0.0011315590
inc           82.1664192523      0.1451863990    0.1457860256
