# Time                DetFlux         DetFluxErr       Model
2457090.7355390177    0.9734485666    0.0002805934     0.9733063913
2457090.7363954894    0.9734215205    0.0002881192     0.9732180945
2457090.7372519607    0.9730432607    0.0002835087     0.9731571575
2457090.7380968584    0.9727872463    0.0002906484     0.9731229891
2457090.7389533301    0.9731127118    0.0002770814     0.9731142529
2457090.7397982273    0.9725470515    0.0002741087     0.9731298812
2457090.7406546990    0.9733786684    0.0002964378     0.9731708548
2457090.7415111703    0.9731613649    0.0002891643     0.9732394662
2457090.7423676420    0.9734268486    0.0002903986     0.9733331214
2457090.7432241132    0.9731930025    0.0002943832     0.9734565373
2457090.7440805850    0.9740158474    0.0002866022     0.9736091317
2457090.7449254827    0.9737859157    0.0002892139     0.9737904337
2457090.7457819539    0.9737627213    0.0002825268     0.9740032322
2457090.7466268516    0.9742222682    0.0002859195     0.9742481998
2457090.7474833229    0.9748434926    0.0002795072     0.9745360696
2457090.7483397941    0.9751296771    0.0002728633     0.9748647839
2457090.7491846918    0.9752105082    0.0002895843     0.9752374435
2457090.7500411631    0.9755517504    0.0002851693     0.9756663999
2457090.7509323563    0.9764567029    0.0002876266     0.9761802140
2457090.7518351236    0.9768195975    0.0002927076     0.9767931224
2457090.7527610385    0.9775597188    0.0002871058     0.9776155439
2457090.7536638058    0.9786594686    0.0002863142     0.9789235595
2457090.7546012946    0.9805965723    0.0003011239     0.9807497480
2457090.7555735055    0.9830649549    0.0002856190     0.9829277045
2457090.7575063533    0.9873647366    0.0002877344     0.9876928999
2457090.7594392006    0.9928586135    0.0002974928     0.9924740386
2457090.7613836220    0.9965516128    0.0002972801     0.9966718409
2457090.7623442588    0.9984944712    0.0002957957     0.9983045293
2457090.7633164697    0.9996856860    0.0002944115     0.9995055366
2457090.7652608911    0.9996928677    0.0003028743     1.0000000000
2457090.7662562495    1.0001246032    0.0002902339     1.0000000000
2457090.7672863300    0.9998279273    0.0002942662     1.0000000000
2457090.7683164100    1.0000156124    0.0002995816     1.0000000000
2457090.7693464905    0.9997751146    0.0002906486     1.0000000000
2457090.7703649970    0.9998566575    0.0002950333     1.0000000000
2457090.7713950770    0.9998728066    0.0002929106     1.0000000000
2457090.7724251575    1.0003599479    0.0002977167     1.0000000000
2457090.7765454785    1.0000240980    0.0002947698     1.0000000000
2457090.7775639850    0.9997709483    0.0002931716     1.0000000000
2457090.7785940650    1.0000767586    0.0002881531     1.0000000000
2457090.7796125715    0.9998554809    0.0002976136     1.0000000000
2457090.7806426515    1.0001957734    0.0003026123     1.0000000000
2457090.7816727320    1.0001602561    0.0002831787     1.0000000000
2457090.7826912380    1.0004285595    0.0002938365     1.0000000000
2457090.7837213185    0.9998474504    0.0002923922     1.0000000000
2457090.7857699050    1.0000340140    0.0002735444     1.0000000000
2457090.7867999850    0.9999929574    0.0002950192     1.0000000000
2457090.7878300650    0.9999688133    0.0003017169     1.0000000000
2457090.7888601455    0.9997016460    0.0003018136     1.0000000000
2457090.7898902255    1.0003149699    0.0002962846     1.0000000000
2457090.7909203055    1.0003849775    0.0002989681     1.0000000000
2457090.7919503860    0.9994987670    0.0002976980     1.0000000000
2457090.7929804660    0.9999225746    0.0002983281     1.0000000000
2457090.7939989720    0.9998933140    0.0002985453     1.0000000000
2457090.7960475585    1.0002189339    0.0003023889     1.0000000000
2457090.7970776386    0.9995284258    0.0002839424     1.0000000000
2457090.7980961446    0.9999212962    0.0003034625     1.0000000000
2457090.7991262246    1.0000120889    0.0002916385     1.0000000000
2457090.8001563046    1.0002736233    0.0002994980     1.0000000000
2457090.8011748111    1.0002729312    0.0002895720     1.0000000000
