# Time                DetFlux         DetFluxErr      Model
2458273.4836750268    0.9999197294    0.0002246676    1.0000000000
2458273.4843231146    0.9998912951    0.0002329465    1.0000000000
2458273.4856192903    0.9998235688    0.0002390405    1.0000000000
2458273.4862673781    1.0002063554    0.0002387696    1.0000000000
2458273.4869154659    1.0004076897    0.0002410880    1.0000000000
2458273.4875751268    0.9996035575    0.0002401114    1.0000000000
2458273.4882232146    0.9999576547    0.0002361727    1.0000000000
2458273.4896119745    1.0002727639    0.0002404295    1.0000000000
2458273.4903179272    0.9994970079    0.0002388450    1.0000000000
2458273.4910238800    0.9999155638    0.0002305690    1.0000000000
2458273.4917298327    1.0001917117    0.0002348118    1.0000000000
2458273.4924357855    1.0003763654    0.0002323193    1.0000000000
2458273.4931417382    0.9998267562    0.0002474498    1.0000000000
2458273.4938476910    1.0000468456    0.0002369196    1.0000000000
2458273.4945536437    0.9998770901    0.0002235499    1.0000000000
2458273.4952480234    1.0001757077    0.0002482106    1.0000000000
2458273.4959539762    1.0001869030    0.0002392935    1.0000000000
2458273.4966599289    0.9999384224    0.0002369839    1.0000000000
2458273.4973774548    0.9999445287    0.0002323195    1.0000000000
2458273.4980834075    0.9996443478    0.0002383233    1.0000000000
2458273.4987893603    0.9999850219    0.0002403222    1.0000000000
2458273.4994837400    1.0000742687    0.0002370301    1.0000000000
2458273.5001896927    1.0001684882    0.0002364999    1.0000000000
2458273.5008956455    0.9999080001    0.0002328639    1.0000000000
2458273.5016247444    1.0000082566    0.0002456568    1.0000000000
2458273.5022844048    1.0001062233    0.0002384234    1.0000000000
2458273.5029440657    1.0001052002    0.0002418258    1.0000000000
2458273.5035805805    1.0001842187    0.0002340626    1.0000000000
2458273.5042286683    0.9994921008    0.0002442118    1.0000000000
2458273.5048883292    0.9998830733    0.0002438136    0.9998522813
2458273.5055248439    0.9993017141    0.0002370006    0.9993587439
2458273.5061845044    0.9987631183    0.0002390254    0.9985981116
2458273.5068325922    0.9980439346    0.0002377372    0.9976517510
2458273.5074806800    0.9965737964    0.0002404675    0.9965438092
2458273.5081634866    0.9951426564    0.0002392247    0.9952323125
2458273.5088694394    0.9935376683    0.0002513606    0.9937516897
2458273.5095753921    0.9920475633    0.0002354370    0.9921703575
2458273.5102813449    0.9906080060    0.0002322931    0.9905186232
2458273.5109988702    0.9885610312    0.0002324087    0.9887962005
2458273.5117048230    0.9869373783    0.0002352693    0.9870831950
