#Times 	                 Airmass 	 Delta Wav 	 FWHM 	        Sky Flux 	      Trace Center 
2457854.5299785533 	 1.1040000000 	 0.0000000000 	 2.5293032701 	 355.9501410025 	 299.5639282841 
2457854.5308697042 	 1.1030000000 	 -0.0009272760 	 2.6316952514 	 321.6315625845 	 299.6992850399 
2457854.5316682677 	 1.1010000000 	 -0.0019762796 	 2.5942102149 	 285.1899092612 	 299.5122802804 
2457854.5323048043 	 1.1000000000 	 -0.0039562732 	 2.5585014047 	 283.3931131208 	 299.5470698746 
2457854.5329297669 	 1.0990000000 	 -0.0072338912 	 2.6159805156 	 282.8337782932 	 299.5155769533 
2457854.5335778766 	 1.0980000000 	 -0.0120734432 	 2.6400075328 	 283.3304592730 	 299.5226692950 
2457854.5342144128 	 1.0970000000 	 -0.0184625848 	 2.6021310799 	 282.5046529000 	 299.5332272024 
2457854.5348393759 	 1.0950000000 	 -0.0260104638 	 2.5721928826 	 281.7736359788 	 299.5072130714 
2457854.5354874851 	 1.0940000000 	 -0.0339895362 	 2.5405529074 	 282.4022585324 	 299.4840549241 
2457854.5361240217 	 1.0930000000 	 -0.0415374152 	 2.5409433733 	 283.1205990579 	 299.5104747861 
2457854.5367721310 	 1.0920000000 	 -0.0479265568 	 2.6192484150 	 281.3698012812 	 299.6147669423 
2457854.5374086676 	 1.0910000000 	 -0.0527661088 	 2.5767850655 	 282.2462311507 	 299.4176758482 
2457854.5380452038 	 1.0900000000 	 -0.0560464035 	 2.6681969417 	 282.0708496003 	 299.4620600989 
2457854.5386817399 	 1.0890000000 	 -0.0580360028 	 2.6214119038 	 282.9782845881 	 299.3983069546 
2457854.5393182761 	 1.0880000000 	 -0.0591158528 	 2.6059457173 	 281.9024216406 	 299.5518267320 
2457854.5399548123 	 1.0870000000 	 -0.0596403055 	 2.6426919952 	 279.1458505860 	 299.4869145176 
2457854.5405913484 	 1.0860000000 	 -0.0598691239 	 2.6003682684 	 280.6146602840 	 299.4838991010 
2457854.5412278846 	 1.0850000000 	 -0.0599609653 	 2.6952206291 	 279.4459802673 	 299.5481843088 
2457854.5418644208 	 1.0840000000 	 -0.0600025400 	 2.6236217679 	 279.3668901042 	 299.6069750824 
2457854.5425009569 	 1.0830000000 	 -0.0600432932 	 2.7014725586 	 278.0452972887 	 299.5687398871 
2457854.5431374931 	 1.0830000000 	 -0.0601279785 	 2.7882268229 	 277.0666957098 	 299.4797405334 
2457854.5437856028 	 1.0820000000 	 -0.0603207712 	 2.6952747643 	 280.5462416193 	 299.5596959295 
2457854.5444221389 	 1.0810000000 	 -0.0607289911 	 2.7975246578 	 276.8682153483 	 299.6666220028 
2457854.5450586751 	 1.0800000000 	 -0.0615095922 	 2.8091909967 	 275.7839566809 	 299.5131684305 
2457854.5456952113 	 1.0790000000 	 -0.0628610213 	 2.8150042786 	 276.3011488809 	 299.6792565481 
2457854.5463317474 	 1.0780000000 	 -0.0649878109 	 2.7353033088 	 274.0809704285 	 299.5315820218 
2457854.5469798571 	 1.0780000000 	 -0.0680457058 	 2.8310837104 	 274.3649454956 	 299.5381294717 
2457854.5476279669 	 1.0770000000 	 -0.0720898054 	 2.9405520257 	 296.3769596517 	 299.7351381372 
2457854.5482876496 	 1.0760000000 	 -0.0770495553 	 2.7834461944 	 292.3925308011 	 299.5327555347 
2457854.5489589060 	 1.0750000000 	 -0.0827471914 	 2.9049016382 	 294.8181261371 	 299.5870296984 
2457854.5496185888 	 1.0750000000 	 -0.0889502214 	 2.9200112452 	 293.2419101263 	 299.4904049425 
2457854.5502782715 	 1.0740000000 	 -0.0954340694 	 2.9649234435 	 292.5027002753 	 299.5378320559 
2457854.5509379548 	 1.0730000000 	 -0.1020255200 	 2.9084908331 	 289.5931522315 	 299.4932934342 
2457854.5516092111 	 1.0730000000 	 -0.1086133974 	 2.9319586892 	 313.7582972525 	 299.6404867278 
2457854.5522920405 	 1.0720000000 	 -0.1151220388 	 2.9334348203 	 313.4921658908 	 299.5332186235 
2457854.5529748704 	 1.0710000000 	 -0.1214693937 	 2.9301444144 	 317.0519009688 	 299.7218818390 
2457854.5536576998 	 1.0710000000 	 -0.1275358132 	 2.9438113099 	 317.7821305950 	 299.6221854628 
2457854.5543521028 	 1.0700000000 	 -0.1331652161 	 2.9144541096 	 315.1543807831 	 299.6023291476 
2457854.5550349327 	 1.0690000000 	 -0.1382038645 	 2.9776282042 	 317.3258446846 	 299.5834578829 
2457854.5557177626 	 1.0690000000 	 -0.1425509913 	 2.9404239242 	 316.6375738776 	 299.8421406382 
2457854.5564005920 	 1.0680000000 	 -0.1461957191 	 3.0191479368 	 321.3103168932 	 299.7367915396 
2457854.5570834219 	 1.0680000000 	 -0.1492205276 	 2.9582967695 	 323.2711132181 	 299.7549586018 
2457854.5577662513 	 1.0670000000 	 -0.1517723493 	 2.9947601497 	 322.8352727551 	 299.7818472822 
2457854.5584606542 	 1.0670000000 	 -0.1540217571 	 2.8800672077 	 323.6907813535 	 299.7489105558 
2457854.5591550572 	 1.0660000000 	 -0.1561298878 	 2.9672809670 	 320.6590583980 	 299.7375338327 
2457854.5598378871 	 1.0660000000 	 -0.1582405691 	 3.0177993459 	 321.0539279119 	 299.8283784971 
2457854.5605207165 	 1.0650000000 	 -0.1605007696 	 3.0856277263 	 316.7858862494 	 299.7285919323 
2457854.5612151194 	 1.0650000000 	 -0.1630986800 	 2.9696473149 	 317.2747014825 	 299.7102131813 
2457854.5618979493 	 1.0640000000 	 -0.1663006142 	 2.9338653590 	 317.5043059792 	 299.6443912312 
2457854.5625923523 	 1.0640000000 	 -0.1704522859 	 3.0578815927 	 342.3305939513 	 299.6646246987 
2457854.5632983283 	 1.0630000000 	 -0.1759197163 	 3.0641670349 	 342.5445331999 	 299.7496757434 
