#Times 	                 Airmass 	 Delta Wav 	 FWHM 	        Sky Flux 	      Trace Center 
2457077.6171062593 	 1.2300000000 	 0.2899492735 	 2.9976985415 	 53.1496886015 	 308.3611682809 
2457077.6183446990 	 1.2240000000 	 0.2821162212 	 2.7469772633 	 51.7132926747 	 308.2417919264 
2457077.6189697064 	 1.2220000000 	 0.2788773634 	 2.7035281502 	 51.4213247867 	 308.2622546774 
2457077.6195947132 	 1.2190000000 	 0.2758602291 	 2.6712616650 	 50.9767737999 	 308.3525594332 
2457077.6202197201 	 1.2170000000 	 0.2730750210 	 2.5666240664 	 51.1693518959 	 308.2273546771 
2457077.6208331529 	 1.2140000000 	 0.2707068666 	 2.6292098467 	 51.2827297147 	 308.2140595152 
2457077.6214465857 	 1.2110000000 	 0.2690460118 	 2.4860355395 	 47.1561112987 	 308.2706138632 
2457077.6220484441 	 1.2090000000 	 0.2683750395 	 2.6186397620 	 47.2127019578 	 308.2836187719 
2457077.6226503025 	 1.2070000000 	 0.2688640878 	 2.6788964295 	 46.5498898003 	 308.2584632655 
2457077.6232521613 	 1.2040000000 	 0.2704998742 	 2.6287091758 	 46.2738442627 	 308.2546005527 
2457077.6238424452 	 1.2020000000 	 0.2730734192 	 2.6305778640 	 46.3157897386 	 308.2823495695 
2457077.6244443040 	 1.2000000000 	 0.2762267910 	 2.4793042800 	 45.5018993892 	 308.2171758290 
2457077.6250461624 	 1.1970000000 	 0.2795415184 	 2.5947219219 	 45.3386347573 	 308.1671550397 
2457077.6256480208 	 1.1950000000 	 0.2826530384 	 2.5856225079 	 44.9480425954 	 308.2270994688 
2457077.6262383051 	 1.1930000000 	 0.2853457866 	 2.5890327736 	 45.1417958869 	 308.3465397214 
2457077.6280438807 	 1.1860000000 	 0.2917693078 	 2.6626713309 	 44.1225905912 	 308.3500561534 
2457077.6286457391 	 1.1840000000 	 0.2944056087 	 2.7253102256 	 44.0789929190 	 308.3946805014 
2457077.6292475979 	 1.1820000000 	 0.2978432561 	 2.8913356422 	 43.9215412757 	 308.3045229694 
2457077.6304397406 	 1.1780000000 	 0.3070684241 	 2.7667319373 	 43.1794637429 	 308.2887841533 
2457077.6310415990 	 1.1760000000 	 0.3120386166 	 2.6736276139 	 43.4268200658 	 308.1777194159 
2457077.6316434573 	 1.1740000000 	 0.3163135405 	 2.9356455613 	 43.8143190999 	 308.2032933926 
2457077.6322453157 	 1.1720000000 	 0.3191475886 	 2.6889768719 	 43.2089527056 	 308.3084661308 
2457077.6328356001 	 1.1700000000 	 0.3199747179 	 3.0185954400 	 43.4980507752 	 308.2826291432 
2457077.6334374584 	 1.1680000000 	 0.3185309776 	 2.9378447549 	 42.7776216746 	 308.3985340639 
2457077.6340393168 	 1.1660000000 	 0.3149088002 	 2.6651032638 	 43.2944659445 	 308.2974951812 
2457077.6346411756 	 1.1640000000 	 0.3095448429 	 2.6923638310 	 42.3565485878 	 308.3036412274 
2457077.6352430340 	 1.1620000000 	 0.3031395126 	 2.7538980161 	 42.6194071579 	 308.2160976892 
2457077.6358448924 	 1.1600000000 	 0.2965153390 	 2.7765212191 	 42.2947939655 	 308.2585918933 
2457077.6364351767 	 1.1590000000 	 0.2904377699 	 2.7726270703 	 42.4043175880 	 308.3166663714 
2457077.6370370351 	 1.1570000000 	 0.2854552023 	 2.9527126958 	 42.6464760704 	 308.1964329710 
2457077.6376388934 	 1.1550000000 	 0.2818031693 	 2.7297388315 	 42.1354511749 	 308.2269360337 
2457077.6388310362 	 1.1510000000 	 0.2779167582 	 2.6189622981 	 41.9572649819 	 308.1777813633 
2457077.6394328945 	 1.1500000000 	 0.2768899161 	 2.5602924699 	 41.5721633674 	 308.1360790825 
2457077.6400347529 	 1.1480000000 	 0.2758312391 	 2.7048206929 	 41.9907051106 	 308.2536744799 
2457077.6412268956 	 1.1440000000 	 0.2719963991 	 2.6106906166 	 41.7840197884 	 308.3153909475 
2457077.6418403285 	 1.1430000000 	 0.2686824387 	 2.5108372971 	 41.3458939030 	 308.1358736047 
2457077.6424306124 	 1.1410000000 	 0.2642975321 	 2.5415129816 	 41.7065752331 	 308.1988064668 
2457077.6430324707 	 1.1390000000 	 0.2589246990 	 2.6393819523 	 41.7351640357 	 308.0642082972 
2457077.6436343291 	 1.1380000000 	 0.2527928057 	 2.6019181161 	 41.9668044641 	 308.1603054349 
2457077.6442361875 	 1.1360000000 	 0.2462307104 	 2.9799025849 	 41.6794604960 	 308.1247509597 
2457077.6448380463 	 1.1350000000 	 0.2395811283 	 2.6741816076 	 41.3882981157 	 308.1156385045 
2457077.6454283302 	 1.1330000000 	 0.2331162644 	 2.6822085453 	 41.7567275747 	 308.1927372926 
2457077.6460301885 	 1.1320000000 	 0.2269983314 	 2.6738245011 	 42.0473141056 	 308.2898412185 
2457077.6466320469 	 1.1300000000 	 0.2213039375 	 2.5914593823 	 41.3072153707 	 308.1670737009 
2457077.6472339053 	 1.1290000000 	 0.2160821094 	 2.9229509518 	 41.3744784767 	 308.1717930478 
2457077.6478357636 	 1.1270000000 	 0.2113934783 	 2.7541156152 	 40.9549718439 	 308.1606042574 
2457077.6484260480 	 1.1260000000 	 0.2073010264 	 2.7086952114 	 41.4268049731 	 308.1812122675 
2457077.6490279064 	 1.1240000000 	 0.2038276017 	 3.0561392617 	 41.4708272105 	 308.1683722560 
2457077.6496297647 	 1.1230000000 	 0.2009260312 	 3.1087138823 	 41.9859628576 	 308.1517817340 
2457077.6502316231 	 1.1210000000 	 0.1984955145 	 2.7207824448 	 41.2580007667 	 308.1462381283 
2457077.6508334815 	 1.1200000000 	 0.1964310057 	 2.8691677712 	 40.7342650754 	 308.1909103783 
2457077.6514237658 	 1.1190000000 	 0.1946686730 	 3.1634782601 	 40.8246495033 	 308.1519791249 
2457077.6520256242 	 1.1170000000 	 0.1931918546 	 2.6920058465 	 40.2621080374 	 308.2589249012 
2457077.6526274821 	 1.1160000000 	 0.1920018014 	 2.7957337736 	 40.6636408278 	 308.0801638093 
2457077.6532293404 	 1.1150000000 	 0.1910742679 	 2.6193521926 	 40.5707113821 	 308.1727010407 
2457077.6538196248 	 1.1130000000 	 0.1903361401 	 2.5101489944 	 40.7350788288 	 308.1619332226 
2457077.6544214832 	 1.1120000000 	 0.1896692923 	 2.4531802924 	 40.7584774168 	 308.1166408374 
2457077.6550233415 	 1.1110000000 	 0.1889403710 	 2.4747762705 	 41.0549855803 	 308.1048736649 
2457077.6556251999 	 1.1090000000 	 0.1880411213 	 2.4496742401 	 40.9839922887 	 308.1149993291 
2457077.6562270583 	 1.1080000000 	 0.1869203602 	 2.4322530455 	 40.2394684996 	 308.1313743124 
2457077.6568289166 	 1.1070000000 	 0.1855922677 	 2.4199474922 	 40.3062400409 	 308.1021420751 
2457077.6574307750 	 1.1060000000 	 0.1841082110 	 2.3136620024 	 40.5650737621 	 308.1005100709 
2457077.6580210589 	 1.1050000000 	 0.1824864223 	 2.4390460842 	 40.9564032612 	 308.1180323400 
2457077.6586229173 	 1.1030000000 	 0.1806240295 	 2.4447114592 	 41.3947438539 	 308.0564316814 
2457077.6592247756 	 1.1020000000 	 0.1782251458 	 2.6307500441 	 41.5813894232 	 308.1472241192 
2457077.6598266340 	 1.1010000000 	 0.1747834002 	 2.6398841280 	 41.4604150198 	 308.0931026548 
2457077.6604169179 	 1.1000000000 	 0.1696516480 	 2.4855033047 	 40.5376052655 	 308.1974428038 
2457077.6610303503 	 1.0990000000 	 0.1621954377 	 2.6921670999 	 40.7322009892 	 308.0605899618 
2457077.6616206346 	 1.0980000000 	 0.1520082037 	 2.6451231701 	 41.3983097561 	 307.9896899100 
2457077.6622224930 	 1.0970000000 	 0.1391101786 	 2.6615035178 	 41.9585430719 	 308.2050189611 
2457077.6628243513 	 1.0960000000 	 0.1240460166 	 2.5071294973 	 42.0678852655 	 308.0875326189 
2457077.6634262092 	 1.0950000000 	 0.1078039974 	 2.5869790710 	 42.1694810816 	 308.1992161808 
2457077.6640164936 	 1.0940000000 	 0.0915519168 	 2.6594235875 	 42.5031143368 	 308.1903367353 
2457077.6646183520 	 1.0930000000 	 0.0762839615 	 2.4830025132 	 41.6978619747 	 308.2326408581 
2457077.6664123526 	 1.0900000000 	 0.0394219991 	 2.3026965101 	 41.0805341182 	 308.1476558372 
2457077.6670142105 	 1.0890000000 	 0.0294052436 	 2.3075241053 	 41.3282865179 	 308.2562818448 
2457077.6676160689 	 1.0880000000 	 0.0201887897 	 2.4205107860 	 41.4923325513 	 308.1269174816 
2457077.6682179272 	 1.0870000000 	 0.0119290948 	 2.4209841355 	 41.4945873077 	 308.2547796261 
2457077.6688197856 	 1.0860000000 	 0.0049291660 	 2.3766988531 	 41.7513404730 	 308.1929717432 
2457077.6694216440 	 1.0850000000 	 -0.0005653264 	 2.4442196157 	 41.5154397155 	 308.0675383739 
2457077.6700119278 	 1.0840000000 	 -0.0045087812 	 2.3574174222 	 41.3366490509 	 308.1786997890 
2457077.6706137862 	 1.0840000000 	 -0.0070871783 	 2.5081391689 	 40.7891173866 	 308.1892443667 
2457077.6712156441 	 1.0830000000 	 -0.0086393899 	 2.5186700666 	 41.2737700606 	 308.2178259144 
2457077.6718175025 	 1.0820000000 	 -0.0095537529 	 2.4900049345 	 41.3231886225 	 308.1516961610 
2457077.6724077864 	 1.0810000000 	 -0.0102020879 	 2.4791998249 	 41.6190797472 	 308.0689027021 
2457077.6730096447 	 1.0800000000 	 -0.0109186614 	 2.4274459584 	 41.0381189170 	 308.2287168018 
2457077.6736115031 	 1.0800000000 	 -0.0120093845 	 2.3311337532 	 40.9503071010 	 308.1101931290 
2457077.6742133615 	 1.0790000000 	 -0.0137515804 	 2.2797444479 	 41.3185991654 	 308.1216430606 
2457077.6748152194 	 1.0780000000 	 -0.0163486065 	 2.2649899032 	 40.9373079561 	 308.0852619183 
2457077.6754055037 	 1.0770000000 	 -0.0198490809 	 2.3314553942 	 40.4423197123 	 308.1245257381 
2457077.6759957876 	 1.0770000000 	 -0.0240528460 	 2.3879670907 	 35.6061593465 	 307.9717877144 
2457077.6765629230 	 1.0760000000 	 -0.0284827085 	 2.3925098936 	 35.8694725644 	 308.0861866679 
2457077.6771300589 	 1.0750000000 	 -0.0324756601 	 2.3379248423 	 36.0059747582 	 308.0939955109 
2457077.6776856203 	 1.0750000000 	 -0.0354275921 	 2.3113567904 	 35.7464556810 	 307.9462870506 
2457077.6782527557 	 1.0740000000 	 -0.0371106462 	 2.4456577760 	 36.1368628840 	 308.0307727251 
2457077.6788198915 	 1.0740000000 	 -0.0379013599 	 2.4100333946 	 38.7364352026 	 308.1264729779 
2457077.6793870269 	 1.0730000000 	 -0.0387513514 	 2.4441670290 	 36.4132689226 	 308.0820805395 
2457077.6799541628 	 1.0720000000 	 -0.0408569686 	 2.5121641527 	 35.9461343167 	 308.1680376754 
2457077.6805212982 	 1.0720000000 	 -0.0451725797 	 2.3980871048 	 36.1415348698 	 308.1734714639 
2457077.6810884336 	 1.0710000000 	 -0.0520116575 	 2.4225142729 	 36.0077712850 	 308.0925123732 
2457077.6816439950 	 1.0710000000 	 -0.0609294255 	 2.6093656364 	 35.6548587869 	 308.0012827430 
2457077.6822111309 	 1.0700000000 	 -0.0709077576 	 2.5830924050 	 35.9241102751 	 308.0963908230 
2457077.6827782663 	 1.0700000000 	 -0.0807096026 	 2.6703694739 	 35.8997832289 	 308.0536732864 
2457077.6833454021 	 1.0690000000 	 -0.0892324914 	 2.5992525683 	 35.5349779192 	 308.2469366718 
2457077.6839009635 	 1.0690000000 	 -0.0957404162 	 2.6275793132 	 35.8960733415 	 308.0265513671 
2457077.6844680989 	 1.0680000000 	 -0.0999494452 	 2.7138702763 	 36.1918121217 	 308.1077710708 
2457077.6850352343 	 1.0680000000 	 -0.1019953707 	 2.5656213317 	 35.7699685826 	 308.0625695785 
2457077.6856023702 	 1.0670000000 	 -0.1023535603 	 2.6251231104 	 35.5054462128 	 308.1491759318 
2457077.6861695056 	 1.0670000000 	 -0.1017175072 	 2.6058305784 	 35.4123384295 	 308.1050961465 
2457077.6867366410 	 1.0660000000 	 -0.1008773071 	 2.5634485674 	 36.2790845955 	 308.1570037815 
2457077.6872922024 	 1.0660000000 	 -0.1005867635 	 2.5467855386 	 35.5087971340 	 308.0376187509 
2457077.6878593382 	 1.0660000000 	 -0.1014747395 	 2.4107398164 	 35.4279870663 	 308.0801182060 
2457077.6884264736 	 1.0650000000 	 -0.1040372534 	 2.4483283784 	 35.2246019619 	 308.1746363994 
2457077.6889936090 	 1.0650000000 	 -0.1087431625 	 2.6020114784 	 35.5376545774 	 308.0133304300 
2457077.6895607449 	 1.0650000000 	 -0.1161956095 	 2.7083306887 	 35.3724626388 	 308.1607779442 
2457077.6901163063 	 1.0640000000 	 -0.1272371252 	 2.5122560572 	 35.3515660799 	 308.0094475878 
2457077.6906834417 	 1.0640000000 	 -0.1428530694 	 2.3675106429 	 35.1482453745 	 308.0522202601 
2457077.6912505771 	 1.0640000000 	 -0.1638308665 	 2.4571292529 	 35.4662193764 	 308.0269052237 
2457077.6918177125 	 1.0630000000 	 -0.1902756799 	 2.4494822415 	 34.9785891372 	 308.0361515961 
2457077.6923848484 	 1.0630000000 	 -0.2212155289 	 2.3160609904 	 34.8952688421 	 308.0329780746 
2457077.6929404098 	 1.0630000000 	 -0.2545522290 	 2.5366463087 	 35.8244613609 	 308.0182495401 
2457077.6935075452 	 1.0620000000 	 -0.2874726849 	 2.4631009028 	 35.4306683804 	 308.0269292306 
2457077.6940862550 	 1.0620000000 	 -0.3171922953 	 2.4812818460 	 39.2086471748 	 308.0413663097 
2457077.6946765389 	 1.0620000000 	 -0.3417346447 	 2.6877660238 	 39.3723880163 	 308.0694232111 
2457077.6952552483 	 1.0620000000 	 -0.3604020486 	 2.4909626370 	 38.5582670872 	 308.0340769000 
2457077.6958455322 	 1.0610000000 	 -0.3737620291 	 2.3784138195 	 38.8204103881 	 308.0188955424 
2457077.6964358161 	 1.0610000000 	 -0.3832098412 	 2.4171466624 	 38.8572170718 	 308.0097222224 
2457077.6970145260 	 1.0610000000 	 -0.3903579661 	 2.3281143363 	 38.5290549886 	 307.9515817360 
2457077.6981950938 	 1.0610000000 	 -0.4025594706 	 2.6070134738 	 38.6136583540 	 308.0243108144 
2457077.6987853777 	 1.0610000000 	 -0.4088085889 	 2.3892025811 	 39.3481427719 	 308.0726372298 
2457077.6993756616 	 1.0600000000 	 -0.4153971144 	 2.2627529505 	 39.8258248245 	 308.1771871467 
2457077.6999543710 	 1.0600000000 	 -0.4223477959 	 2.3160641002 	 39.4618183279 	 308.0660424998 
2457077.7005446549 	 1.0600000000 	 -0.4296498122 	 2.2693679436 	 39.2719873368 	 308.0170641093 
2457077.7011349387 	 1.0600000000 	 -0.4372572347 	 2.2364756351 	 39.0195424449 	 307.9750819250 
2457077.7017252226 	 1.0600000000 	 -0.4451303612 	 2.2107313920 	 38.9224348909 	 307.9569150884 
2457077.7023039325 	 1.0600000000 	 -0.4533327956 	 2.3368254942 	 38.9013101622 	 308.0006271254 
2457077.7028942164 	 1.0600000000 	 -0.4621382209 	 2.2052152261 	 39.0426036872 	 308.0867299143 
2457077.7034729258 	 1.0600000000 	 -0.4720383766 	 2.2124051770 	 36.0337582306 	 307.9698588338 
2457077.7040400612 	 1.0600000000 	 -0.4836058070 	 2.1871483124 	 35.3924528836 	 308.1190334618 
2457077.7046071971 	 1.0600000000 	 -0.4972556719 	 2.1921493233 	 35.6161666399 	 308.0187653531 
2457077.7051627580 	 1.0600000000 	 -0.5130116621 	 2.3201008765 	 35.4402390180 	 307.9641170300 
2457077.7057298934 	 1.0600000000 	 -0.5303807251 	 2.2415267784 	 35.1329983933 	 308.0696118876 
2457077.7062970293 	 1.0600000000 	 -0.5483939141 	 2.2725783189 	 35.1743900236 	 308.0384702738 
2457077.7068525902 	 1.0600000000 	 -0.5658174466 	 2.3696443325 	 35.9506583114 	 308.0174414513 
2457077.7074197256 	 1.0600000000 	 -0.5814599081 	 2.4561236751 	 36.0725453515 	 308.0280486815 
2457077.7079868610 	 1.0600000000 	 -0.5944703902 	 2.4345495383 	 36.6194161194 	 307.9528613805 
2457077.7085539969 	 1.0600000000 	 -0.6045160703 	 2.3645911727 	 35.9814404039 	 308.0621119569 
2457077.7091211323 	 1.0600000000 	 -0.6117641803 	 2.4603650598 	 35.6399668896 	 307.9495303840 
2457077.7096766932 	 1.0600000000 	 -0.6167127315 	 2.6064508558 	 35.9871304261 	 307.9493025607 
2457077.7102438286 	 1.0600000000 	 -0.6199460549 	 2.4543038445 	 35.1745549330 	 308.0336556688 
2457077.7108109640 	 1.0600000000 	 -0.6219371830 	 2.4981571411 	 35.4933942987 	 307.9761679671 
2457077.7113780994 	 1.0600000000 	 -0.6229508988 	 2.4246398821 	 35.4728213849 	 307.9049416908 
2457077.7119452353 	 1.0600000000 	 -0.6230598093 	 2.4552304092 	 36.0199903578 	 308.0717667820 
2457077.7125239447 	 1.0610000000 	 -0.6221988409 	 2.4405139963 	 39.6672447130 	 308.0400762868 
2457077.7131026541 	 1.0610000000 	 -0.6202122160 	 2.3842608209 	 39.6162749527 	 308.0131808954 
2457077.7136929380 	 1.0610000000 	 -0.6168687021 	 2.5389380096 	 39.0473711446 	 308.0850177106 
2457077.7142832219 	 1.0610000000 	 -0.6118534296 	 2.3280707619 	 39.2502017267 	 307.9747938218 
2457077.7148735058 	 1.0610000000 	 -0.6047797189 	 2.3393638615 	 38.9477695136 	 307.9855675924 
2457077.7160424991 	 1.0620000000 	 -0.5828832269 	 2.4049415752 	 38.7608967371 	 308.0483600056 
2457077.7166327829 	 1.0620000000 	 -0.5676462803 	 2.4556493619 	 38.2241199910 	 307.9652739016 
2457077.7172230664 	 1.0620000000 	 -0.5498863345 	 2.4419297766 	 38.5729399553 	 307.9981822099 
2457077.7178133503 	 1.0620000000 	 -0.5305819853 	 2.3275807211 	 39.4501857839 	 307.9731111677 
2457077.7183920597 	 1.0630000000 	 -0.5113629988 	 2.3981145882 	 39.1226070189 	 307.9565650655 
2457077.7189823436 	 1.0630000000 	 -0.4943784787 	 2.2944734708 	 38.8134820014 	 308.0212152069 
2457077.7195726275 	 1.0630000000 	 -0.4820134005 	 2.3506602827 	 39.1658938724 	 308.0588084957 
2457077.7201629113 	 1.0640000000 	 -0.4765258695 	 2.2664108569 	 38.8803018454 	 308.0055859998 
2457077.7207416208 	 1.0640000000 	 -0.4796330148 	 2.3177181535 	 38.6308444070 	 308.0199170394 
2457077.7213319046 	 1.0640000000 	 -0.4920594905 	 2.2610902790 	 38.5769413782 	 308.0665439416 
2457077.7219221881 	 1.0650000000 	 -0.5131650830 	 2.3466139489 	 39.2892976805 	 308.0486914864 
2457077.7225008979 	 1.0650000000 	 -0.5408779474 	 2.2413193632 	 39.2638338736 	 308.0658094578 
2457077.7230911814 	 1.0650000000 	 -0.5720876652 	 2.2609163751 	 39.1343721624 	 308.0428380456 
2457077.7236814653 	 1.0660000000 	 -0.6034280183 	 2.3194507133 	 39.7082105809 	 308.1709336249 
2457077.7242717491 	 1.0660000000 	 -0.6321100806 	 2.2731984095 	 38.8817495196 	 308.1072380709 
2457077.7248620326 	 1.0670000000 	 -0.6564545621 	 2.2704876173 	 39.1623884401 	 308.1131896556 
2457077.7254407424 	 1.0670000000 	 -0.6759825347 	 2.3175015333 	 39.1894242685 	 308.1270301690 
2457077.7260310259 	 1.0680000000 	 -0.6911900084 	 2.2518960200 	 38.4834082418 	 308.1382505942 
2457077.7266213098 	 1.0680000000 	 -0.7031805861 	 2.2996293206 	 38.8956100540 	 308.2363469907 
2457077.7377788289 	 1.0800000000 	 -0.6398924193 	 2.2605336379 	 38.2175996165 	 308.1870062399 
2457077.7383691124 	 1.0810000000 	 -0.6355351823 	 2.2967011024 	 38.6580113441 	 308.1138622144 
2457077.7389478218 	 1.0810000000 	 -0.6323407849 	 2.2096252161 	 39.3658794010 	 308.1962878858 
2457077.7395381057 	 1.0820000000 	 -0.6295218242 	 2.3702347289 	 39.1024739308 	 308.1992783874 
2457077.7401283891 	 1.0830000000 	 -0.6263452080 	 2.4706564880 	 38.7391235220 	 308.1625114221 
2457077.7407186725 	 1.0840000000 	 -0.6224359498 	 2.4050619206 	 38.3723139028 	 308.3152005239 
2457077.7413089564 	 1.0850000000 	 -0.6179291140 	 2.4391394087 	 39.0618204104 	 308.2688355060 
2457077.7418876658 	 1.0850000000 	 -0.6134098115 	 2.4521646176 	 39.3440917166 	 308.1938857773 
2457077.7424779492 	 1.0860000000 	 -0.6097046974 	 2.4220053992 	 38.7054753636 	 308.2585358636 
2457077.7430682331 	 1.0870000000 	 -0.6075869188 	 2.4095459439 	 38.7398808539 	 308.2358976952 
2457077.7436469425 	 1.0880000000 	 -0.6075220421 	 2.4534659704 	 38.9200245122 	 308.2459624801 
2457077.7442372260 	 1.0890000000 	 -0.6095047299 	 2.4591344178 	 38.6736208797 	 308.1283358719 
