#Times 	                 Airmass 	 Delta Wav 	 FWHM 	        Sky Flux 	      Trace Center 
2457077.5758210709 	 1.4900000000 	 0.0009791080 	 3.4541361792 	 77.9885853379 	 308.2811168493 
2457077.5764923748 	 1.4840000000 	 0.0020170965 	 3.3666718763 	 77.6456849002 	 308.3282552756 
2457077.5778581314 	 1.4720000000 	 0.0072448080 	 3.5592493014 	 77.6961661465 	 308.1508015659 
2457077.5785410097 	 1.4660000000 	 0.0122441918 	 3.8382744168 	 78.8295851326 	 308.2673504084 
2457077.5792238875 	 1.4610000000 	 0.0192396402 	 3.2110275755 	 76.2578515345 	 308.0829157411 
2457077.5798951918 	 1.4550000000 	 0.0282427553 	 3.1277670534 	 75.7473098704 	 308.1247920704 
2457077.5805780697 	 1.4500000000 	 0.0389350186 	 3.2509073292 	 76.8860073204 	 308.1958011005 
2457077.5812609480 	 1.4440000000 	 0.0506826238 	 3.1131524649 	 76.0129144343 	 308.2070218596 
2457077.5819322518 	 1.4390000000 	 0.0626338916 	 3.2067186069 	 75.6818647960 	 308.2130589149 
2457077.5826151301 	 1.4330000000 	 0.0738621961 	 3.1925946588 	 75.9877602432 	 308.3080120779 
2457077.5832980084 	 1.4280000000 	 0.0835154709 	 3.2120727334 	 75.9294679207 	 308.3886000001 
2457077.5839808863 	 1.4230000000 	 0.0909510949 	 3.1023353977 	 75.4054823456 	 308.1598141677 
2457077.5846637646 	 1.4180000000 	 0.0958455640 	 3.2659135113 	 75.4386216272 	 308.3705414408 
2457077.5853466429 	 1.4130000000 	 0.0982560825 	 3.2831490638 	 74.3470978924 	 308.3196223316 
2457077.5860295207 	 1.4080000000 	 0.0986036895 	 2.9366561231 	 74.9052102469 	 308.2286800332 
2457077.5867123990 	 1.4030000000 	 0.0975583571 	 2.9775848446 	 74.8658173414 	 308.2115189314 
2457077.5873952773 	 1.3980000000 	 0.0958607650 	 2.9254615680 	 74.0427415779 	 308.3290399051 
2457077.5880781552 	 1.3930000000 	 0.0941512649 	 3.0219614531 	 73.9483582391 	 308.0531841460 
2457077.5887494590 	 1.3880000000 	 0.0928721399 	 3.0129006216 	 73.2037404218 	 308.2303287905 
2457077.5894323373 	 1.3830000000 	 0.0922645978 	 3.0219470729 	 73.4247966447 	 308.4512354369 
2457077.5901152156 	 1.3780000000 	 0.0924264822 	 2.9451367251 	 73.0782994919 	 308.3628181494 
2457077.5907865195 	 1.3740000000 	 0.0933698855 	 2.9651892953 	 72.3310830185 	 308.1503925405 
2457077.5914578233 	 1.3690000000 	 0.0950338512 	 3.2016846871 	 67.6541180637 	 308.2028349600 
2457077.5921175531 	 1.3650000000 	 0.0972629264 	 3.1133924402 	 68.2748346146 	 308.3630797938 
2457077.5927657085 	 1.3610000000 	 0.0997866871 	 3.1033640226 	 67.6075227539 	 308.4010514533 
2457077.5934254383 	 1.3560000000 	 0.1022515846 	 2.9473582735 	 67.0516100408 	 308.2293342738 
2457077.5940851676 	 1.3520000000 	 0.1043077977 	 3.0591563256 	 67.4541028000 	 308.2621466432 
2457077.5947448974 	 1.3480000000 	 0.1057255407 	 2.9379492670 	 67.0397335663 	 308.2756509966 
2457077.5954046273 	 1.3440000000 	 0.1064820409 	 3.0274450783 	 66.6513272178 	 308.2737183429 
2457077.5960643571 	 1.3400000000 	 0.1067862925 	 3.1692328550 	 66.0194391843 	 308.3837595112 
2457077.5967240864 	 1.3360000000 	 0.1070458210 	 3.0256642127 	 66.8335470551 	 308.4321523774 
2457077.5973838163 	 1.3320000000 	 0.1078005581 	 3.0637473878 	 66.1188031280 	 308.2627335593 
2457077.5980319716 	 1.3280000000 	 0.1096413830 	 3.0026130256 	 66.2322931048 	 308.2409098452 
2457077.5993514312 	 1.3200000000 	 0.1186689472 	 2.7093062135 	 65.4168363925 	 308.2806420965 
2457077.6000111606 	 1.3160000000 	 0.1265148214 	 2.7952643126 	 65.4193638034 	 308.2508460775 
2457077.6006708904 	 1.3120000000 	 0.1366619869 	 2.6231659487 	 64.8685609534 	 308.2769147956 
2457077.6013306202 	 1.3080000000 	 0.1488855585 	 2.7135762988 	 65.2037022563 	 308.2452783957 
2457077.6019903496 	 1.3050000000 	 0.1627581559 	 2.8458950126 	 64.0173741003 	 308.2825559970 
2457077.6026385049 	 1.3010000000 	 0.1777044676 	 2.8699508231 	 64.4333926654 	 308.1845239138 
2457077.6032982348 	 1.2970000000 	 0.1931023978 	 2.8033567740 	 63.4864952164 	 308.2021024462 
2457077.6039579646 	 1.2940000000 	 0.2084280426 	 2.7063736219 	 64.1820890869 	 308.2952542015 
2457077.6046176939 	 1.2900000000 	 0.2233857136 	 2.8593436816 	 63.5972842788 	 308.2764666033 
2457077.6052658493 	 1.2870000000 	 0.2379337164 	 2.7382793167 	 63.5918185609 	 308.2469666468 
2457077.6059024306 	 1.2830000000 	 0.2521610037 	 2.6382645361 	 57.1786206221 	 308.2602998354 
2457077.6065274375 	 1.2800000000 	 0.2660839344 	 2.6108627847 	 56.9469320438 	 308.3011706013 
2457077.6071524448 	 1.2770000000 	 0.2795031988 	 2.8222468939 	 56.3781248677 	 308.2821200873 
2457077.6077658776 	 1.2740000000 	 0.2920199687 	 3.0429801032 	 58.5149032926 	 308.2597612783 
2457077.6083908845 	 1.2700000000 	 0.3031836118 	 2.9346524689 	 56.8737546577 	 308.2685370180 
2457077.6090158913 	 1.2670000000 	 0.3126406239 	 3.0114661439 	 55.8326871175 	 308.3139828845 
2457077.6096408986 	 1.2640000000 	 0.3201977232 	 2.8415372171 	 55.5346703930 	 308.1783642580 
2457077.6102543315 	 1.2610000000 	 0.3257839786 	 2.6583490715 	 54.6512418243 	 308.2473771624 
2457077.6108793383 	 1.2580000000 	 0.3293812543 	 2.6663310867 	 54.9493369722 	 308.3740723767 
2457077.6115043452 	 1.2550000000 	 0.3309914235 	 2.8123201152 	 54.6696681273 	 308.2590248830 
2457077.6121293521 	 1.2520000000 	 0.3306472583 	 2.7872928290 	 54.2614857134 	 308.1939955404 
2457077.6127543594 	 1.2490000000 	 0.3284509184 	 2.7466385069 	 53.9344589297 	 308.2939636883 
2457077.6133793662 	 1.2460000000 	 0.3246069050 	 2.7447282040 	 53.3036835166 	 308.2521117186 
2457077.6139927991 	 1.2440000000 	 0.3194412625 	 2.7157621537 	 54.1240016065 	 308.2317022816 
2457077.6146178059 	 1.2410000000 	 0.3133923332 	 2.7544991997 	 53.5754629602 	 308.2222620767 
2457077.6152428128 	 1.2380000000 	 0.3069704753 	 2.8923548768 	 53.7706453646 	 308.3636764201 
2457077.6158678196 	 1.2350000000 	 0.3006830647 	 2.8222984177 	 53.5492197572 	 308.2746041338 
2457077.6164812525 	 1.2320000000 	 0.2949353435 	 2.6550038947 	 52.6267175917 	 308.2115725367 
