#Times 	                 Airmass 	 Delta Wav 	 FWHM 	        Sky Flux 	      Trace Center 
2458273.5008956455 	 1.1750000000 	 0.0665172994 	 2.4164178652 	 44.0732298461 	 332.9074104149 
2458273.5016247444 	 1.1780000000 	 0.0535314435 	 2.4558953496 	 43.7316267994 	 332.8610701830 
2458273.5022844048 	 1.1800000000 	 0.0419520253 	 2.4721545229 	 36.9321818019 	 332.9375995291 
2458273.5029440657 	 1.1830000000 	 0.0318801622 	 2.4345942982 	 37.6417604299 	 332.9862493859 
2458273.5035805805 	 1.1850000000 	 0.0232646358 	 2.5186320853 	 37.0570565808 	 332.9178167880 
2458273.5042286683 	 1.1870000000 	 0.0159541361 	 2.3226221490 	 36.2253703891 	 333.0733209853 
2458273.5048883292 	 1.1900000000 	 0.0097743339 	 2.3933252490 	 36.0740987660 	 333.0372046611 
2458273.5055248439 	 1.1920000000 	 0.0045841125 	 2.3862645619 	 36.2312906476 	 332.9587846514 
2458273.5061845044 	 1.1940000000 	 0.0002868829 	 2.4210289934 	 36.4274459631 	 333.0158001053 
2458273.5068325922 	 1.1970000000 	 -0.0031976959 	 2.4937369332 	 37.1802818465 	 333.0068256177 
2458273.5074806800 	 1.1990000000 	 -0.0059663475 	 2.5416174057 	 37.4133794482 	 332.9807577575 
2458273.5081634866 	 1.2020000000 	 -0.0081495521 	 2.6325363961 	 43.3235877767 	 332.9758184845 
2458273.5088694394 	 1.2040000000 	 -0.0099011173 	 2.5652519734 	 42.7979173291 	 333.0129053051 
2458273.5095753921 	 1.2070000000 	 -0.0113633388 	 2.4788353748 	 43.4774560235 	 332.8593179933 
2458273.5102813449 	 1.2100000000 	 -0.0126302426 	 2.6570709890 	 44.3994857947 	 332.9710172284 
2458273.5109988702 	 1.2130000000 	 -0.0137304319 	 2.5335371544 	 43.2866899360 	 333.0528376090 
2458273.5117048230 	 1.2160000000 	 -0.0146404161 	 2.3415442740 	 43.5181775394 	 333.0514154392 
2458273.5124107758 	 1.2190000000 	 -0.0153245179 	 2.3301948927 	 44.6311507933 	 333.0325290921 
2458273.5131283011 	 1.2220000000 	 -0.0157769291 	 2.4549792975 	 44.0073147319 	 333.1131946698 
2458273.5138342539 	 1.2250000000 	 -0.0160419620 	 2.3579831781 	 43.8074031891 	 333.1273838984 
2458273.5145402066 	 1.2280000000 	 -0.0162001375 	 2.4944042993 	 43.0056160977 	 333.1769962625 
2458273.5152461594 	 1.2310000000 	 -0.0163320134 	 2.4649767280 	 44.3239057639 	 333.1735801726 
2458273.5159521122 	 1.2340000000 	 -0.0164983536 	 2.6937068222 	 44.5937814711 	 333.1675330791 
2458273.5166580644 	 1.2370000000 	 -0.0167552911 	 2.5087900614 	 44.0322085878 	 333.1290550628 
2458273.5173524441 	 1.2400000000 	 -0.0171915766 	 2.7624894976 	 45.1152595899 	 333.1264650698 
2458273.5180583969 	 1.2430000000 	 -0.0179468971 	 2.4852930342 	 43.3076085681 	 333.1804696246 
2458273.5187643496 	 1.2470000000 	 -0.0191816371 	 2.6640986444 	 44.1470525032 	 333.2530032073 
2458273.5194703024 	 1.2500000000 	 -0.0210114319 	 2.6606298110 	 44.6299314826 	 333.1392166098 
2458273.5201762547 	 1.2530000000 	 -0.0234566246 	 2.6184553407 	 44.2693438162 	 333.0966572246 
2458273.5208822074 	 1.2570000000 	 -0.0264498406 	 2.5174409118 	 44.8961226953 	 333.1318888064 
2458273.5215881602 	 1.2600000000 	 -0.0299031728 	 2.7147525369 	 45.4568008994 	 333.1005251720 
2458273.5222941129 	 1.2630000000 	 -0.0337947455 	 2.7013123456 	 45.3024272440 	 333.1424614213 
2458273.5230000652 	 1.2670000000 	 -0.0382150600 	 2.8253568462 	 44.1220113387 	 333.1908023662 
2458273.5237060180 	 1.2700000000 	 -0.0433378083 	 2.6242963378 	 44.4990522722 	 333.0898333552 
2458273.5244119707 	 1.2740000000 	 -0.0493208749 	 2.7252987587 	 43.5683213864 	 333.1083533011 
2458273.5251179230 	 1.2780000000 	 -0.0561891363 	 2.7882371649 	 47.1569693003 	 333.0095734197 
2458273.5258238758 	 1.2810000000 	 -0.0637625297 	 2.8725943756 	 43.7585647353 	 333.1155271784 
2458273.5265298286 	 1.2850000000 	 -0.0716864741 	 3.0248294181 	 45.0725266088 	 333.1713319679 
2458273.5272357808 	 1.2890000000 	 -0.0795575340 	 2.8306238032 	 44.2211941369 	 333.2046171234 
2458273.5279417336 	 1.2930000000 	 -0.0870749924 	 2.8047391315 	 43.8958044260 	 333.1119728209 
