#Times 	                 Airmass 	 Delta Wav 	 FWHM 	        Sky Flux 	      Trace Center 
2457090.6974491752 	 1.0740000000 	 0.0000000000 	 4.0230956497 	 259.3798066835 	 318.3805781146 
2457090.6981783337 	 1.0750000000 	 0.0928740265 	 3.9738027715 	 252.6567575772 	 318.3526726983 
2457090.6989190662 	 1.0750000000 	 0.1101506145 	 3.7719371073 	 254.1069490345 	 318.3156808198 
2457090.6996597983 	 1.0760000000 	 0.1321098141 	 3.8906438512 	 253.0085196262 	 318.3867743680 
2457090.7003889568 	 1.0770000000 	 0.1553467524 	 3.9114437178 	 263.4621213269 	 318.4812006719 
2457090.7011296893 	 1.0780000000 	 0.1769309166 	 3.9508904171 	 263.7526400644 	 318.4095544087 
2457090.7018704219 	 1.0790000000 	 0.1949178743 	 4.1057075182 	 262.3285381219 	 318.3393947969 
2457090.7026111539 	 1.0800000000 	 0.2084848617 	 4.1854657737 	 257.7035144249 	 318.3413471940 
2457090.7033518865 	 1.0810000000 	 0.2177758239 	 3.9864136455 	 256.5269467642 	 318.3763115891 
2457090.7040810450 	 1.0820000000 	 0.2236060037 	 3.9283091282 	 257.5222879282 	 318.3068799183 
2457090.7048217771 	 1.0830000000 	 0.2272037262 	 3.9470533068 	 265.2398100120 	 318.3358164850 
2457090.7055625096 	 1.0840000000 	 0.2300244329 	 3.7731291245 	 265.6255476083 	 318.4259965822 
2457090.7062916681 	 1.0850000000 	 0.2336544155 	 3.7851641826 	 260.4170937611 	 318.3367949139 
2457090.7070324002 	 1.0860000000 	 0.2397313020 	 3.9047976480 	 253.8639700453 	 318.3047503450 
2457090.7077499847 	 1.0870000000 	 0.2498247342 	 3.8377498719 	 214.0776571040 	 318.2355407227 
2457090.7084328476 	 1.0880000000 	 0.2652715185 	 3.6542838050 	 212.1740620027 	 318.3562083115 
2457090.7091157101 	 1.0890000000 	 0.2870189262 	 3.8875936333 	 210.5235505940 	 318.3785819785 
2457090.7097985726 	 1.0900000000 	 0.3154821976 	 3.7445466832 	 210.4738466416 	 318.3478841155 
2457090.7104814351 	 1.0910000000 	 0.3504586571 	 3.7330343065 	 208.3860224034 	 318.4266121341 
2457090.7111642980 	 1.0920000000 	 0.3911029041 	 3.5880777028 	 208.7647105773 	 318.4287290733 
2457090.7118471605 	 1.0940000000 	 0.4359906891 	 5.3219851659 	 209.5414527422 	 318.6928949680 
2457090.7125415970 	 1.0950000000 	 0.4833003581 	 5.1784469086 	 251.6518473473 	 317.2190921865 
2457090.7132823295 	 1.0960000000 	 0.5310652685 	 5.1385474375 	 251.5335563443 	 317.5544842292 
2457090.7140577836 	 1.0970000000 	 0.5774133923 	 4.9682150141 	 285.0179476053 	 318.5768764361 
2457090.7148563853 	 1.0990000000 	 0.6207172550 	 5.2893945836 	 283.2272511426 	 318.9033996318 
2457090.7156434134 	 1.1000000000 	 0.6596806472 	 5.6358735740 	 286.5498253318 	 317.0051373263 
2457090.7164420155 	 1.1020000000 	 0.6934145290 	 5.3811201801 	 285.9958988033 	 319.0686182114 
2457090.7172406176 	 1.1030000000 	 0.7215927594 	 5.4650031147 	 285.1626853829 	 316.8999850154 
2457090.7180276457 	 1.1050000000 	 0.7446214740 	 6.0300016628 	 284.9684651087 	 318.8050474537 
2457090.7188262474 	 1.1060000000 	 0.7637014716 	 5.9638207435 	 280.0037496905 	 318.8050474537 
2457090.7196248495 	 1.1080000000 	 0.7806990743 	 6.0923666249 	 280.5571094047 	 319.1581507970 
2457090.7204118776 	 1.1100000000 	 0.7978195134 	 6.1556313285 	 283.1210596312 	 318.8892655289 
2457090.7212104793 	 1.1110000000 	 0.8171634203 	 6.0305400447 	 285.7477430572 	 317.1132742901 
2457090.7219975074 	 1.1130000000 	 0.8402787869 	 6.5014007825 	 288.1907217268 	 317.0052052726 
2457090.7227961095 	 1.1150000000 	 0.8677999176 	 6.7170336190 	 286.0757769866 	 316.8717885211 
2457090.7235947112 	 1.1160000000 	 0.8992579189 	 7.2486079034 	 279.8069829273 	 320.0472985268 
2457090.7243817393 	 1.1180000000 	 0.9331719018 	 6.8104727220 	 279.7670730493 	 319.0336994158 
2457090.7251803414 	 1.1200000000 	 0.9674500795 	 7.1761323285 	 282.9937631359 	 319.3707115299 
2457090.7259789431 	 1.1220000000 	 1.0000236300 	 6.5997067049 	 283.7885864041 	 319.3707115299 
2457090.7267775452 	 1.1240000000 	 1.0294702407 	 7.5990200295 	 283.2502773305 	 319.2914983537 
2457090.7275645728 	 1.1260000000 	 1.0553777179 	 7.4272107280 	 283.2149085961 	 318.9818828167 
2457090.7283631749 	 1.1280000000 	 1.0783185628 	 7.3719179699 	 283.5050018897 	 319.5756467781 
2457090.7291617766 	 1.1300000000 	 1.0995111149 	 7.6475592834 	 285.6225425164 	 319.5019869532 
2457090.7299488047 	 1.1310000000 	 1.1203589586 	 6.7125022964 	 286.3875247561 	 319.1500254816 
2457090.7307474068 	 1.1340000000 	 1.1420792603 	 7.8700368087 	 286.6436208813 	 319.1500254816 
2457090.7315460085 	 1.1360000000 	 1.1655033738 	 8.0496044233 	 285.1736692545 	 318.9785461903 
2457090.7323330366 	 1.1380000000 	 1.1910600382 	 8.2854544893 	 284.4064574533 	 318.6286974134 
2457090.7331316383 	 1.1400000000 	 1.2188776038 	 7.4358573555 	 278.4449365597 	 314.5306311857 
2457090.7339302399 	 1.1420000000 	 1.2488907687 	 8.3981342130 	 283.9927708712 	 319.2216848276 
2457090.7347288420 	 1.1440000000 	 1.2808571808 	 8.1355896358 	 284.3924272246 	 319.5772811743 
2457090.7355390177 	 1.1470000000 	 1.3142694060 	 8.2246655225 	 320.3375925475 	 319.0915441278 
2457090.7363954894 	 1.1490000000 	 1.3482917703 	 8.2064336550 	 318.1532741803 	 319.2668588578 
2457090.7372519607 	 1.1510000000 	 1.3818692426 	 8.5808602336 	 319.4288763574 	 318.7366553295 
2457090.7380968584 	 1.1540000000 	 1.4141075597 	 8.5653121717 	 318.7129044739 	 318.8102104759 
2457090.7389533301 	 1.1570000000 	 1.4447392702 	 8.2212224430 	 316.6753524360 	 318.9224688997 
2457090.7397982273 	 1.1590000000 	 1.4743588948 	 8.4230887735 	 317.7585595813 	 319.0497202274 
2457090.7406546990 	 1.1620000000 	 1.5041950276 	 8.6301520121 	 321.3651608495 	 319.2462564885 
2457090.7415111703 	 1.1650000000 	 1.5354698264 	 8.7994379472 	 322.3450283834 	 318.9931173483 
2457090.7423676420 	 1.1670000000 	 1.5686994587 	 8.9942312999 	 323.7615425549 	 318.7530810388 
2457090.7432241132 	 1.1700000000 	 1.6033193258 	 7.9442227835 	 306.3995261377 	 313.8867072728 
2457090.7440805850 	 1.1730000000 	 1.6378691697 	 9.3446349385 	 324.0033530328 	 318.6075634937 
2457090.7449254827 	 1.1760000000 	 1.6706081925 	 9.0373717102 	 327.4392871613 	 319.1273175833 
2457090.7457819539 	 1.1790000000 	 1.7002262840 	 9.1292017397 	 331.3517966692 	 318.7445532065 
2457090.7466268516 	 1.1820000000 	 1.7263278418 	 8.5944233680 	 332.1425228317 	 315.2573089673 
2457090.7474833229 	 1.1850000000 	 1.7495046690 	 8.7326853640 	 330.8826018329 	 315.1159076797 
2457090.7483397941 	 1.1880000000 	 1.7710545145 	 9.4341880652 	 330.7388627112 	 319.2944238690 
2457090.7491846918 	 1.1910000000 	 1.7924908204 	 9.5897389708 	 330.7197372712 	 319.2314443835 
2457090.7500411631 	 1.1940000000 	 1.8150180674 	 8.8504059937 	 341.7981734327 	 314.3846708916 
2457090.7509323563 	 1.1970000000 	 1.8391026581 	 8.9730837777 	 379.0611619456 	 314.8185871734 
2457090.7518351236 	 1.2010000000 	 1.8642742305 	 9.9101875055 	 374.2711355938 	 319.6625929927 
2457090.7527610385 	 1.2040000000 	 1.8892927412 	 9.8388685644 	 376.8224733822 	 318.9713040023 
2457090.7536638058 	 1.2080000000 	 1.9126416857 	 9.2972192363 	 377.9326586150 	 316.2253973611 
2457090.7546012946 	 1.2110000000 	 1.9331502810 	 8.5695279581 	 412.2137795415 	 313.9698579110 
2457090.7555735055 	 1.2150000000 	 1.9504228865 	 9.0592281206 	 431.9721703626 	 314.8791967248 
2457090.7575063533 	 1.2230000000 	 1.9773276603 	 8.9441290984 	 430.6778109507 	 315.5120561574 
2457090.7594392006 	 1.2320000000 	 1.9992509678 	 8.8359165849 	 442.8431197978 	 314.9947504278 
2457090.7613836220 	 1.2400000000 	 2.0180477310 	 9.3504646729 	 434.1283886200 	 319.8705738048 
2457090.7623442588 	 1.2450000000 	 2.0255734428 	 9.5797399602 	 439.7504881419 	 319.9692367448 
2457090.7633164697 	 1.2490000000 	 2.0314606198 	 9.7073449008 	 438.7998411642 	 320.0700094230 
2457090.7652608911 	 1.2590000000 	 2.0375047809 	 9.7385155327 	 433.3797256911 	 320.7292843269 
2457090.7662562495 	 1.2630000000 	 2.0370394157 	 9.6309960408 	 477.4463876908 	 320.2814468499 
2457090.7672863300 	 1.2680000000 	 2.0336512912 	 9.2709326798 	 506.8516080414 	 315.5318416021 
2457090.7683164100 	 1.2740000000 	 2.0270449423 	 9.2203494310 	 458.7871105447 	 320.1173152169 
2457090.7693464905 	 1.2790000000 	 2.0174266357 	 9.1119690375 	 476.6604100653 	 320.2048604218 
2457090.7703649970 	 1.2840000000 	 2.0056909062 	 9.1808099940 	 502.5023080410 	 315.6761792809 
2457090.7713950770 	 1.2900000000 	 1.9932858093 	 9.2261232097 	 500.2134902763 	 316.1357089395 
2457090.7724251575 	 1.2950000000 	 1.9817409325 	 8.9558593480 	 520.2445918903 	 315.8934325952 
2457090.7765454785 	 1.3180000000 	 1.9532116057 	 9.0971018619 	 508.6289571060 	 320.1643493702 
2457090.7775639850 	 1.3240000000 	 1.9479081808 	 8.9286618533 	 517.6601917436 	 320.0178614923 
